date,china_average,seoul_average
2016-01-13,185.5,50
2016-01-14,198.2222222,51
2016-01-15,217.1111111,70
2016-01-16,147.3888889,71
2016-01-17,92.27777778,56
2016-01-18,103.4444444,37
2016-01-19,96.72222222,42
2016-01-20,99.88888889,53
2016-01-21,107.5,55
2016-01-22,67.83333333,35
2016-01-23,70,43
2016-01-24,92.66666667,55
2016-01-25,113.9444444,77
2016-01-26,142.7777778,66
2016-01-27,150.2222222,60
2016-01-28,100.4444444,54
2016-01-29,68.5,42
2016-01-03,126.5,47
2016-01-30,73.66666667,44
2016-01-31,96.61111111,43
2016-01-04,102.7777778,34
2016-01-05,124.6666667,58
2016-01-06,100.4444444,45
2016-01-07,137.4444444,36
2016-01-08,211.8333333,40
2016-01-09,257.8333333,36
2016-10-01,70.22222222,35
2016-10-10,85.44444444,45
2016-10-11,107,59
2016-10-12,112.9444444,46
2016-10-13,100.7222222,70
2016-10-14,78.44444444,79
2016-10-15,63.22222222,60
2016-10-16,98.44444444,57
2016-10-17,121.1111111,60
2016-10-18,111.1666667,66
2016-10-19,92.33333333,67
2016-10-02,84.27777778,19
2016-10-20,64.72222222,27
2016-10-21,53.5,35
2016-10-22,46.66666667,13
2016-10-23,63.38888889,19
2016-10-24,73.38888889,17
2016-10-25,94.83333333,46
2016-10-26,64.83333333,52
2016-10-27,48.61111111,43
2016-10-28,60.55555556,41
2016-10-29,76.77777778,28
2016-10-03,86.27777778,36
2016-10-30,54,34
2016-10-31,61.05555556,25
2016-10-04,76.22222222,28
2016-10-05,65.72222222,44
2016-10-06,62.61111111,30
2016-10-07,62,23
2016-10-08,65.88888889,20
2016-10-09,80.22222222,30
2016-11-01,96,39
2016-11-10,105.5,50
2016-11-11,131.6111111,75
2016-11-12,168.6111111,64
2016-11-13,159.9444444,55
2016-11-14,90,62
2016-11-15,83.72222222,59
2016-11-16,125.0555556,68
2016-11-17,133.4444444,85
2016-11-18,115.9444444,62
2016-11-19,77.11111111,47
2016-11-02,109.5555556,46
2016-11-20,48.33333333,64
2016-11-21,41.5,46
2016-11-22,60.33333333,42
2016-11-23,88.61111111,29
2016-11-24,104.7777778,39
2016-11-25,140.1666667,58
2016-11-26,127,71
2016-11-27,102.1666667,73
2016-11-28,140.6666667,41
2016-11-29,135.2222222,49
2016-11-03,105.3888889,65
2016-11-30,150.3333333,50
2016-11-04,129.8888889,74
2016-11-05,112.8888889,34
2016-11-06,86.27777778,38
2016-11-07,72.61111111,65
2016-11-08,82.61111111,46
2016-11-09,81.16666667,47
2016-12-01,146.5,37
2016-12-10,108.6111111,36
2016-12-11,105.3333333,47
2016-12-12,58.55555556,63
2016-12-13,66.16666667,58
2016-12-14,106.3333333,38
2016-12-15,115.5,35
2016-12-16,120.3888889,63
2016-12-17,184,55
2016-12-18,316.2777778,40
2016-12-19,301.7777778,56
2016-12-02,144.3888889,55
2016-12-20,189.3888889,45
2016-12-21,128.3888889,25
2016-12-22,100.5555556,58
2016-12-23,91.83333333,68
2016-12-24,99.72222222,59
2016-12-25,73.66666667,51
2016-12-26,74.11111111,45
2016-12-27,115.4444444,49
2016-12-28,115.9444444,40
2016-12-29,127.1111111,45
2016-12-03,185.8888889,76
2016-12-30,176.3333333,62
2016-12-31,NA,71
2016-12-04,165.6111111,80
2016-12-05,99.44444444,27
2016-12-06,141.5,51
2016-12-07,154,60
2016-12-08,74.55555556,37
2016-12-09,88.44444444,36
2016-02-01,117.1111111,49
2016-02-10,111.9444444,51
2016-02-11,127.3333333,40
2016-02-12,41.22222222,17
2016-02-13,42.5,32
2016-02-14,60.16666667,36
2016-02-15,68.5,32
2016-02-16,88.27777778,43
2016-02-17,85.88888889,48
2016-02-18,105.6666667,79
2016-02-19,67.22222222,51
2016-02-02,136.8333333,62
2016-02-20,86.16666667,29
2016-02-21,145.1666667,46
2016-02-22,120.2222222,55
2016-02-23,82.5,36
2016-02-24,125.2777778,51
2016-02-25,130,52
2016-02-26,148.4444444,69
2016-02-27,86.83333333,50
2016-02-28,61.55555556,61
2016-02-29,91.83333333,36
2016-02-03,134.6666667,61
2016-02-04,104.0555556,50
2016-02-05,78.05555556,56
2016-02-06,117.0555556,51
2016-02-07,174.2777778,64
2016-02-08,98.27777778,59
2016-02-09,86.66666667,43
2016-03-01,131.7222222,42
2016-03-10,106.5,39
2016-03-11,117.5,51
2016-03-12,110.2777778,63
2016-03-13,112.6111111,66
2016-03-14,112.7222222,59
2016-03-15,109.2777778,66
2016-03-16,112.6111111,73
2016-03-17,149.6666667,67
2016-03-18,181.7222222,75
2016-03-19,107.1666667,79
2016-03-02,156.1666667,57
2016-03-20,110.5555556,82
2016-03-21,139.5,72
2016-03-22,75.88888889,75
2016-03-23,83.22222222,43
2016-03-24,90.77777778,72
2016-03-25,105.3333333,69
2016-03-26,100.9444444,69
2016-03-27,127.2222222,67
2016-03-28,105.1666667,87
2016-03-29,124.7222222,85
2016-03-03,138.1666667,73
2016-03-30,124.7777778,55
2016-03-31,101.0555556,72
2016-03-04,193,26
2016-03-05,204.3333333,78
2016-03-06,155.8888889,98
2016-03-07,79.83333333,68
2016-03-08,59.27777778,49
2016-03-09,79.22222222,38
2016-04-01,173.9444444,77
2016-04-10,100.4444444,52
2016-04-11,104.7222222,61
2016-04-12,147.2777778,63
2016-04-13,144.5555556,61
2016-04-14,125.8888889,59
2016-04-15,78.83333333,60
2016-04-16,81.11111111,42
2016-04-17,76.5,66
2016-04-18,82.27777778,50
2016-04-19,99.16666667,66
2016-04-02,68.72222222,56
2016-04-20,149.3333333,32
2016-04-21,190.7777778,68
2016-04-22,209.3333333,143
2016-04-23,162.8333333,124
2016-04-24,114.5,76
2016-04-25,99.77777778,79
2016-04-26,103.6666667,58
2016-04-27,104.1111111,60
2016-04-28,116.4444444,67
2016-04-29,103.1666667,78
2016-04-03,90.72222222,30
2016-04-30,97.55555556,51
2016-04-04,98.61111111,63
2016-04-05,84.33333333,71
2016-04-06,124.0555556,48
2016-04-07,175.8333333,69
2016-04-08,210.3888889,98
2016-04-09,168.9444444,111
2016-05-01,105.1666667,56
2016-05-10,116.5,33
2016-05-11,88.83333333,33
2016-05-12,69.83333333,41
2016-05-13,69.72222222,40
2016-05-14,56.77777778,40
2016-05-15,74.55555556,35
2016-05-16,82.83333333,69
2016-05-17,81.22222222,55
2016-05-18,77.61111111,45
2016-05-19,72.83333333,50
2016-05-02,73.88888889,22
