"","일자","교통량합계"
"305",20181101,11925170.3244764
"306",20181102,12000120.8121561
"307",20181103,11673980.6234004
"308",20181104,10644275.0988559
"309",20181105,11572876.684442
"310",20181106,11716395.2271524
"311",20181107,11648787.1750686
"312",20181108,11328334.9451603
"313",20181109,11884597.8162302
"314",20181110,12243921.1315675
"315",20181111,11209568.2027424
"316",20181112,11808435.5941219
"317",20181113,11836912.7915447
"318",20181114,11844654.4955886
"319",20181115,11821147.1547898
"320",20181116,11915201.1159242
"321",20181117,11586887.2511266
"322",20181118,10436061.1061252
"323",20181119,11489214.4395827
"324",20181120,11686778.0600151
"325",20181121,11631788.7060414
"326",20181122,11727263.4307646
"327",20181123,11906204.0573968
"328",20181124,10720891.2745323
"329",20181125,10317246.3603655
"330",20181126,11382898.9664627
"331",20181127,11588728.1966939
"332",20181128,11707271.3854444
"333",20181129,11703663.969929
"334",20181130,11974395.4839461
"335",20181201,11553514.8602492
"336",20181202,10389680.2527627
"337",20181203,10939163.3120712
"338",20181204,11510819.2901918
"339",20181205,11571283.2644227
"340",20181206,11653187.1684009
"341",20181207,11837109.5015352
"342",20181208,11168585.3987378
"343",20181209,9753988.41318495
"344",20181210,11211558.545704
"345",20181211,11322591.0252181
"346",20181212,11559816.1408513
"347",20181213,11009836.1560266
"348",20181214,11608608.7658349
"349",20181215,11228194.123043
"350",20181216,11228194.123043
"351",20181217,11842143.5348367
"352",20181218,11651361.0027151
"353",20181219,11700432.0706362
"354",20181220,11260659.5218523
"355",20181221,11750420.0616715
"356",20181222,11305787.5015352
"357",20181223,9935640.16529036
"358",20181224,11343869.4123043
"359",20181225,9809843.74311688
"360",20181226,11471867.0216264
"361",20181227,11569956.7549735
"362",20181228,11665137.4460586
"363",20181229,10886975.1379643
"364",20181230,9614280.45363468
"365",20181231,11116160.2013505
