"","date","china_average","seoul_average"
"427","2015/11/1",129.888888888889,56
"428","2015/11/10",140.611111111111,45
"429","2015/11/11",157.944444444444,17
"430","2015/11/12",104.666666666667,15
"431","2015/11/13",99.2777777777778,12
"432","2015/11/14",130.055555555556,21
"433","2015/11/15",88,31
"434","2015/11/16",79.1111111111111,19
"435","2015/11/17",63.5555555555556,12
"436","2015/11/18",91.3888888888889,16
"437","2015/11/19",114.611111111111,38
"438","2015/11/2",127.388888888889,71
"439","2015/11/20",91.1111111111111,52
"440","2015/11/21",40.3888888888889,33
"441","2015/11/22",44.8333333333333,9
"442","2015/11/23",44.7777777777778,27
"443","2015/11/24",69.7777777777778,13
"444","2015/11/25",65.6666666666667,37
"445","2015/11/26",89.7777777777778,45
"446","2015/11/27",130.888888888889,49
"447","2015/11/28",195.444444444444,44
"448","2015/11/29",269.222222222222,49
"449","2015/11/3",111.888888888889,81
"450","2015/11/30",205.722222222222,61
"451","2015/11/4",116.555555555556,76
"452","2015/11/5",42.0555555555556,54
"453","2015/11/6",48.6111111111111,12
"454","2015/11/7",82,5
"455","2015/11/8",102.222222222222,12
"456","2015/11/9",118.055555555556,51
"457","2015/12/1",128.166666666667,57
"458","2015/12/10",95.8333333333333,36
"459","2015/12/11",105.5,31
"460","2015/12/12",157.777777777778,44
"461","2015/12/13",184.888888888889,50
"462","2015/12/14",135.222222222222,59
"463","2015/12/15",65.0555555555556,32
"464","2015/12/16",80.5,21
"465","2015/12/17",130.111111111111,46
"466","2015/12/18",200.722222222222,65
"467","2015/12/19",207.111111111111,59
"468","2015/12/2",83.8888888888889,21
"469","2015/12/20",290.5,55
"470","2015/12/21",231.444444444444,64
"471","2015/12/22",318.777777777778,58
"472","2015/12/23",400,88
"473","2015/12/24",313.055555555556,32
"474","2015/12/25",206.944444444444,68
"475","2015/12/26",64.3333333333333,33
"476","2015/12/27",109.888888888889,27
"477","2015/12/28",154.777777777778,61
"478","2015/12/29",204.777777777778,62
"479","2015/12/3",94.8888888888889,46
"480","2015/12/30",191.666666666667,62
"481","2015/12/31",191.666666666667,NA
"482","2015/12/4",149.166666666667,38
"483","2015/12/5",165.888888888889,38
"484","2015/12/6",174.888888888889,55
"485","2015/12/7",166.388888888889,63
"486","2015/12/8",107.722222222222,73
"487","2015/12/9",216.888888888889,48
"488","2015/2/1",125.222222222222,48
"489","2015/2/10",158.277777777778,79
"490","2015/2/11",127.666666666667,42
"491","2015/2/12",121.388888888889,36
"492","2015/2/13",132.777777777778,58
"493","2015/2/14",128,76
"494","2015/2/15",140.666666666667,46
"495","2015/2/16",134.5,62
"496","2015/2/17",96.0555555555556,63
"497","2015/2/18",120.444444444444,64
"498","2015/2/19",66.4444444444444,57
"499","2015/2/2",164.833333333333,64
"500","2015/2/20",98.8333333333333,29
"501","2015/2/21",164.333333333333,202
"502","2015/2/22",109,554
"503","2015/2/23",123.166666666667,91
"504","2015/2/24",132.666666666667,70
"505","2015/2/25",99.9444444444444,39
"506","2015/2/26",62.9444444444444,34
"507","2015/2/27",72.3333333333333,50
"508","2015/2/28",115.444444444444,80
"509","2015/2/3",146.611111111111,76
"510","2015/2/4",79.3888888888889,83
"511","2015/2/5",107.722222222222,58
"512","2015/2/6",127.555555555556,53
"513","2015/2/7",66.1111111111111,87
"514","2015/2/8",96.4444444444444,41
"515","2015/2/9",117.777777777778,82
"516","2015/3/1",108.388888888889,80
"517","2015/3/10",97.2222222222222,43
"518","2015/3/11",129.166666666667,37
"519","2015/3/12",145.888888888889,50
"520","2015/3/13",102.555555555556,43
"521","2015/3/14",140.555555555556,48
"522","2015/3/15",131.722222222222,78
"523","2015/3/16",115.055555555556,106
"524","2015/3/17",89.1666666666667,77
"525","2015/3/18",138.555555555556,58
"526","2015/3/19",181.055555555556,87
"527","2015/3/2",113.444444444444,55
"528","2015/3/20",158.444444444444,127
"529","2015/3/21",210.111111111111,115
"530","2015/3/22",109.222222222222,58
"531","2015/3/23",108.888888888889,49
"532","2015/3/24",98.1111111111111,48
"533","2015/3/25",92.5555555555556,51
"534","2015/3/26",92.2222222222222,59
"535","2015/3/27",144.388888888889,52
"536","2015/3/28",351.444444444444,64
"537","2015/3/29",192.944444444444,115
"538","2015/3/3",66.8333333333333,45
"539","2015/3/30",108.277777777778,98
"540","2015/3/31",63.2222222222222,29
"541","2015/3/4",87.3333333333333,49
"542","2015/3/5",104.555555555556,52
"543","2015/3/6",102.722222222222,55
"544","2015/3/7",96.9444444444444,70
"545","2015/3/8",84.1111111111111,64
"546","2015/3/9",82.5555555555556,33
"547","2015/4/1",58.8888888888889,26
"548","2015/4/10",105.833333333333,68
"549","2015/4/11",87.2777777777778,55
"550","2015/4/12",61,30
"551","2015/4/13",94.1111111111111,23
"552","2015/4/14",116.5,40
"553","2015/4/15",186.666666666667,72
"554","2015/4/16",144.166666666667,68
"555","2015/4/17",118.111111111111,62
"556","2015/4/18",74.6111111111111,36
"557","2015/4/19",94.1666666666667,13
"558","2015/4/2",79.5,35
"559","2015/4/20",113.111111111111,45
"560","2015/4/21",106.611111111111,67
"561","2015/4/22",114.888888888889,63
"562","2015/4/23",136.777777777778,68
"563","2015/4/24",136.611111111111,61
"564","2015/4/25",117.277777777778,40
"565","2015/4/26",99.7222222222222,57
"566","2015/4/27",97.3888888888889,49
"567","2015/4/28",106.722222222222,50
"568","2015/4/29",120.055555555556,34
"569","2015/4/3",92.8333333333333,18
"570","2015/4/30",88.6111111111111,48
"571","2015/4/4",130.222222222222,18
"572","2015/4/5",88.3333333333333,54
"573","2015/4/6",64.6666666666667,46
"574","2015/4/7",86.0555555555556,30
"575","2015/4/8",87.1666666666667,55
"576","2015/4/9",111.944444444444,58
"577","2015/5/1",69.8888888888889,39
"578","2015/5/10",56.6666666666667,48
"579","2015/5/11",85.8888888888889,37
"580","2015/5/12",102.888888888889,61
"581","2015/5/13",131.5,56
"582","2015/5/14",109.888888888889,86
"583","2015/5/15",107.388888888889,54
"584","2015/5/16",112.722222222222,57
"585","2015/5/17",103.555555555556,48
"586","2015/5/18",116.611111111111,51
"587","2015/5/19",76.2777777777778,46
"588","2015/5/2",108.888888888889,28
"589","2015/5/20",95.1111111111111,46
"590","2015/5/21",93.1111111111111,55
"591","2015/5/22",92.1666666666667,49
"592","2015/5/23",109.777777777778,34
"593","2015/5/24",115.222222222222,46
"594","2015/5/25",101.5,44
"595","2015/5/26",94.3333333333333,43
"596","2015/5/27",77.2222222222222,44
"597","2015/5/28",80.4444444444444,49
"598","2015/5/29",90.6111111111111,44
"599","2015/5/3",99,50
"600","2015/5/30",99.2222222222222,44
"601","2015/5/31",90.8333333333333,40
"602","2015/5/4",101.777777777778,42
"603","2015/5/5",107.111111111111,49
"604","2015/5/6",103.944444444444,47
"605","2015/5/7",94.2222222222222,57
"606","2015/5/8",74.8888888888889,45
"607","2015/5/9",78.0555555555556,44
"608","2015/6/1",98.7222222222222,39
"609","2015/6/10",84,43
"610","2015/6/11",100.222222222222,47
"611","2015/6/12",112.777777777778,72
"612","2015/6/13",81.7222222222222,34
"613","2015/6/14",105.944444444444,40
"614","2015/6/15",114.222222222222,51
"615","2015/6/16",110.944444444444,40
"616","2015/6/17",101.444444444444,31
"617","2015/6/18",96.8333333333333,23
"618","2015/6/19",64.1111111111111,40
"619","2015/6/2",83.3333333333333,45
"620","2015/6/20",87.5,23
"621","2015/6/21",89.3888888888889,34
"622","2015/6/22",92.7777777777778,36
"623","2015/6/23",69.4444444444444,45
"624","2015/6/24",55.2222222222222,44
"625","2015/6/25",76.6111111111111,13
"626","2015/6/26",86.7777777777778,11
"627","2015/6/27",80.3333333333333,25
"628","2015/6/28",65.9444444444444,25
"629","2015/6/29",57.5555555555556,33
"630","2015/6/3",91,43
"631","2015/6/30",82.1111111111111,34
"632","2015/6/4",89.9444444444444,36
"633","2015/6/5",130.222222222222,35
"634","2015/6/6",106.333333333333,34
"635","2015/6/7",79.0555555555556,39
"636","2015/6/8",112.388888888889,48
"637","2015/6/9",105.833333333333,52
"638","2015/7/1",80.4444444444444,48
"639","2015/7/10",73.3333333333333,30
"640","2015/7/11",73.2222222222222,11
"641","2015/7/12",105.777777777778,27
"642","2015/7/13",108.111111111111,66
"643","2015/7/14",87,53
"644","2015/7/15",97.5555555555556,12
"645","2015/7/16",86.2222222222222,12
"646","2015/7/17",79.8888888888889,30
"647","2015/7/18",62.6111111111111,26
"648","2015/7/19",70.8888888888889,23
"649","2015/7/2",83.3888888888889,44
"650","2015/7/20",84,27
"651","2015/7/21",84.0555555555556,34
"652","2015/7/22",85.2222222222222,27
"653","2015/7/23",83.9444444444444,15
"654","2015/7/24",84.6111111111111,20
"655","2015/7/25",104.833333333333,19
"656","2015/7/26",101.5,30
"657","2015/7/27",69.6111111111111,40
"658","2015/7/28",71.6666666666667,36
"659","2015/7/29",64.2777777777778,68
"660","2015/7/3",75.2777777777778,34
"661","2015/7/30",51.9444444444444,59
"662","2015/7/31",82.8333333333333,51
"663","2015/7/4",85.8888888888889,38
"664","2015/7/5",100.333333333333,33
"665","2015/7/6",97.2777777777778,39
"666","2015/7/7",101.222222222222,11
"667","2015/7/8",93.2222222222222,11
"668","2015/7/9",88.8333333333333,19
"669","2015/8/1",81.1666666666667,34
"670","2015/8/10",78.6111111111111,59
"671","2015/8/11",93.7777777777778,53
"672","2015/8/12",106.444444444444,43
"673","2015/8/13",97.5,41
"674","2015/8/14",81.6666666666667,59
"675","2015/8/15",97.6666666666667,67
