"","year","month","re_china_average","re_seoul_average"
"436","2015","11",127.388888888889,71
"437","2015","11",91.1111111111111,52
"438","2015","11",40.3888888888889,33
"439","2015","11",44.8333333333333,9
"440","2015","11",44.7777777777778,27
"441","2015","11",69.7777777777778,13
"442","2015","11",65.6666666666667,37
"443","2015","11",89.7777777777778,45
"444","2015","11",130.888888888889,49
"447","2015","11",111.888888888889,81
"449","2015","11",116.555555555556,76
"450","2015","11",42.0555555555556,54
"451","2015","11",48.6111111111111,12
"452","2015","11",82,5
"453","2015","11",102.222222222222,12
"454","2015","11",118.055555555556,51
"455","2015","12",128.166666666667,57
"456","2015","12",95.8333333333333,36
"457","2015","12",105.5,31
"458","2015","12",157.777777777778,44
"460","2015","12",135.222222222222,59
"461","2015","12",65.0555555555556,32
"462","2015","12",80.5,21
"463","2015","12",130.111111111111,46
"466","2015","12",83.8888888888889,21
"473","2015","12",64.3333333333333,33
"474","2015","12",109.888888888889,27
"475","2015","12",154.777777777778,61
"477","2015","12",94.8888888888889,46
"479","2015","12",149.166666666667,38
"480","2015","12",165.888888888889,38
"482","2015","12",166.388888888889,63
"483","2015","12",107.722222222222,73
"485","2015"," 2",125.222222222222,48
"486","2015"," 2",158.277777777778,79
"487","2015"," 2",127.666666666667,42
"488","2015"," 2",121.388888888889,36
"489","2015"," 2",132.777777777778,58
"490","2015"," 2",128,76
"491","2015"," 2",140.666666666667,46
"492","2015"," 2",134.5,62
"493","2015"," 2",96.0555555555556,63
"494","2015"," 2",120.444444444444,64
"495","2015"," 2",66.4444444444444,57
"496","2015"," 2",164.833333333333,64
"497","2015"," 2",98.8333333333333,29
"500","2015"," 2",123.166666666667,91
"501","2015"," 2",132.666666666667,70
"502","2015"," 2",99.9444444444444,39
"503","2015"," 2",62.9444444444444,34
"504","2015"," 2",72.3333333333333,50
"505","2015"," 2",115.444444444444,80
"506","2015"," 2",146.611111111111,76
"507","2015"," 2",79.3888888888889,83
"508","2015"," 2",107.722222222222,58
"509","2015"," 2",127.555555555556,53
"510","2015"," 2",66.1111111111111,87
"511","2015"," 2",96.4444444444444,41
"512","2015"," 2",117.777777777778,82
"513","2015"," 3",108.388888888889,80
"514","2015"," 3",97.2222222222222,43
"515","2015"," 3",129.166666666667,37
"516","2015"," 3",145.888888888889,50
"517","2015"," 3",102.555555555556,43
"518","2015"," 3",140.555555555556,48
"519","2015"," 3",131.722222222222,78
"521","2015"," 3",89.1666666666667,77
"522","2015"," 3",138.555555555556,58
"524","2015"," 3",113.444444444444,55
"527","2015"," 3",109.222222222222,58
"528","2015"," 3",108.888888888889,49
"529","2015"," 3",98.1111111111111,48
"530","2015"," 3",92.5555555555556,51
"531","2015"," 3",92.2222222222222,59
"532","2015"," 3",144.388888888889,52
"535","2015"," 3",66.8333333333333,45
"536","2015"," 3",108.277777777778,98
"537","2015"," 3",63.2222222222222,29
"538","2015"," 3",87.3333333333333,49
"539","2015"," 3",104.555555555556,52
"540","2015"," 3",102.722222222222,55
"541","2015"," 3",96.9444444444444,70
"542","2015"," 3",84.1111111111111,64
"543","2015"," 3",82.5555555555556,33
"544","2015"," 4",58.8888888888889,26
"545","2015"," 4",105.833333333333,68
"546","2015"," 4",87.2777777777778,55
"547","2015"," 4",61,30
"548","2015"," 4",94.1111111111111,23
"549","2015"," 4",116.5,40
"551","2015"," 4",144.166666666667,68
"552","2015"," 4",118.111111111111,62
"553","2015"," 4",74.6111111111111,36
"554","2015"," 4",94.1666666666667,13
"555","2015"," 4",79.5,35
"556","2015"," 4",113.111111111111,45
"557","2015"," 4",106.611111111111,67
"558","2015"," 4",114.888888888889,63
"559","2015"," 4",136.777777777778,68
"560","2015"," 4",136.611111111111,61
"561","2015"," 4",117.277777777778,40
"562","2015"," 4",99.7222222222222,57
"563","2015"," 4",97.3888888888889,49
"564","2015"," 4",106.722222222222,50
"565","2015"," 4",120.055555555556,34
"566","2015"," 4",92.8333333333333,18
"567","2015"," 4",88.6111111111111,48
"568","2015"," 4",130.222222222222,18
"569","2015"," 4",88.3333333333333,54
"570","2015"," 4",64.6666666666667,46
"571","2015"," 4",86.0555555555556,30
"572","2015"," 4",87.1666666666667,55
"573","2015"," 4",111.944444444444,58
"574","2015"," 5",69.8888888888889,39
"575","2015"," 5",56.6666666666667,48
"576","2015"," 5",85.8888888888889,37
"577","2015"," 5",102.888888888889,61
"578","2015"," 5",131.5,56
"579","2015"," 5",109.888888888889,86
"580","2015"," 5",107.388888888889,54
"581","2015"," 5",112.722222222222,57
"582","2015"," 5",103.555555555556,48
"583","2015"," 5",116.611111111111,51
"584","2015"," 5",76.2777777777778,46
"585","2015"," 5",108.888888888889,28
"586","2015"," 5",95.1111111111111,46
"587","2015"," 5",93.1111111111111,55
"588","2015"," 5",92.1666666666667,49
"589","2015"," 5",109.777777777778,34
"590","2015"," 5",115.222222222222,46
"591","2015"," 5",101.5,44
"592","2015"," 5",94.3333333333333,43
"593","2015"," 5",77.2222222222222,44
"594","2015"," 5",80.4444444444444,49
"595","2015"," 5",90.6111111111111,44
"596","2015"," 5",99,50
"597","2015"," 5",99.2222222222222,44
"598","2015"," 5",90.8333333333333,40
"599","2015"," 5",101.777777777778,42
"600","2015"," 5",107.111111111111,49
"601","2015"," 5",103.944444444444,47
"602","2015"," 5",94.2222222222222,57
"603","2015"," 5",74.8888888888889,45
"604","2015"," 5",78.0555555555556,44
"605","2015"," 6",98.7222222222222,39
"606","2015"," 6",84,43
"607","2015"," 6",100.222222222222,47
"608","2015"," 6",112.777777777778,72
"609","2015"," 6",81.7222222222222,34
"610","2015"," 6",105.944444444444,40
"611","2015"," 6",114.222222222222,51
"612","2015"," 6",110.944444444444,40
"613","2015"," 6",101.444444444444,31
"614","2015"," 6",96.8333333333333,23
"615","2015"," 6",64.1111111111111,40
"616","2015"," 6",83.3333333333333,45
"617","2015"," 6",87.5,23
"618","2015"," 6",89.3888888888889,34
"619","2015"," 6",92.7777777777778,36
"620","2015"," 6",69.4444444444444,45
"621","2015"," 6",55.2222222222222,44
"622","2015"," 6",76.6111111111111,13
"623","2015"," 6",86.7777777777778,11
"624","2015"," 6",80.3333333333333,25
"625","2015"," 6",65.9444444444444,25
"626","2015"," 6",57.5555555555556,33
"627","2015"," 6",91,43
"628","2015"," 6",82.1111111111111,34
"629","2015"," 6",89.9444444444444,36
"630","2015"," 6",130.222222222222,35
"631","2015"," 6",106.333333333333,34
"632","2015"," 6",79.0555555555556,39
"633","2015"," 6",112.388888888889,48
"634","2015"," 6",105.833333333333,52
"635","2015"," 7",80.4444444444444,48
"636","2015"," 7",73.3333333333333,30
"637","2015"," 7",73.2222222222222,11
"638","2015"," 7",105.777777777778,27
"639","2015"," 7",108.111111111111,66
"640","2015"," 7",87,53
"641","2015"," 7",97.5555555555556,12
"642","2015"," 7",86.2222222222222,12
"643","2015"," 7",79.8888888888889,30
"644","2015"," 7",62.6111111111111,26
"645","2015"," 7",70.8888888888889,23
"646","2015"," 7",83.3888888888889,44
"647","2015"," 7",84,27
"648","2015"," 7",84.0555555555556,34
"649","2015"," 7",85.2222222222222,27
"650","2015"," 7",83.9444444444444,15
"651","2015"," 7",84.6111111111111,20
"652","2015"," 7",104.833333333333,19
"653","2015"," 7",101.5,30
